Name;Acronym;city;state;country_name;country_code
Centro Universitário de Várzea Grande;UNIVAG;Várzea Grande;;Brazil;BR
University of Vassouras;;Vassouras;;Brazil;BR
Universidade Vila Velha;;Vila Velha;;Brazil;BR
Centro Universitário Geraldo Di Biase;UGB;Volta Redonda;;Brazil;BR
Anhanguera (Brazil);;Valinhos;;Brazil;BR
Federal University of Western Pará;UFOPA;Santarém;;Brazil;BR
Centro Universitário das Faculdades Metropolitanas Unidas;FMU;São Paulo;;Brazil;BR
Federal University for Latin American Integration;UNILA;Foz do Iguaçu;;Brazil;BR
Universidade Livre de Música;;São Paulo;;Brazil;BR
Laboratório Interinstitucional de e-Astronomia;LIneA;Rio de Janeiro;;Brazil;BR
National Council for Scientific and Technological Development;CNPq;Brasília;;Brazil;BR
Federal Government of Brazil;;Brasília;;Brazil;BR
Coordenação de Aperfeicoamento de Pessoal de Nível Superior;CAPES;Brasília;;Brazil;BR
Department of STD, AIDS and Viral Hepatitis;;Brasília;;Brazil;BR
Fundação Getulio Vargas;FGV ;Rio de Janeiro;;Brazil;BR
Fundação Hospitalar do Estado de Minas Gerais;Fhemig;Belo Horizonte;;Brazil;BR
Agência Paulista de Tecnologia dos Agronegócios;APTA ;São Paulo;;Brazil;BR
Instituto de Biologia do Exército;;Rio de Janeiro;;Brazil;BR
