Name;Acronym;State Acronym;Institution Type
Faculdade Chafic;CHAFIC;SP;Outros
Faculdade Christus;Christus;CE;Outros
Faculdade Cidade de Coromandel;FCC;MG;Outros
Faculdade Cidade de Guanhães - Facig;Facig;MG;Outros
Faculdade Cidade de João Pinheiro;FCJP;MG;Outros
Faculdade Cidade de Patos de Minas;FPM;MG;Outros
Faculdade Cidade do Salvador;FCS;BA;Outros
Faculdade Cidade Luz;FACILUZ;SP;Outros
Faculdade Cidade Verde;FCV;PR;Outros
Faculdade Ciências da Vida;FCV;MG;Outros
Faculdade Cimo;FAC;MG;Outros
Faculdade Comunitária de Campinas;FAC;SP;Outros
Faculdade Comunitária de Limeira;FAC Limeira;SP;Outros
Faculdade Concórdia;FACC;SC;Outros
Faculdade COTEMIG;COTEMIG;MG;Outros
Faculdade Cristo Rei;FACCREI;PR;Outros
Faculdade Cuiabá;FAUC;MT;Outros
Faculdade da Academia Brasileira de Educação e Cultura;FABEC;RJ;Outros
Faculdade da Aldeia de Carapicuíba;FALC;SP;Outros
Faculdade da Alta Paulista;FAP;SP;Outros
Faculdade da Amazônia;FAMA;RO;Outros
Faculdade da Amazônia Ocidental - Faao;FAAO;AC;Outros
Faculdade da Cidade de Santa Luzia;FACSAL;MG;Outros
Faculdade da Escada;FAESC;PE;Outros
Faculdade da Fronteira - Faf;FAF;PR;Outros
Faculdade da Fundação Educacional Araçatuba;FAC-FEA;SP;Outros
Faculdade da Região dos Lagos;FERLAGOS;RJ;Outros
Faculdade da Região Serrana;FARESE;ES;Outros
Faculdade da Saúde e Ecologia Humana;FASEH;MG;Outros
Faculdade da Serra Gaúcha;FSG;RS;Outros
Faculdade Damas da Instrução Cristã;FADIC;PE;Outros
Faculdade das Américas;FAM;SP;Outros
Faculdade das Atividades Empresariais de Teresina;FAETE;PI;Outros
Faculdade de Administração;FA;SP;Outros
Faculdade de Administração;ITPAC;TO;Outros
Faculdade de Administração Ciências Econ e Contábeis de Guaratinguetá;FACEAG;SP;Outros
Faculdade de Administração da Associação Brasiliense de Educação;FABE;RS;Outros
Faculdade de Administração da Fespsp;FADFESPSP;SP;Outros
Faculdade de Administração da Fundação Armando Alvares Penteado;FAE-FAAP;SP;Outros
Faculdade de Administração da Serra;FABAVI;ES;Outros
Faculdade de Administração de Alta Floresta;FAFLOR;MT;Outros
Faculdade de Administração de Assis;FAA;SP;Outros
Faculdade de Administração de Brasília;AIEC / FAAB;DF;Outros
Faculdade de Administração de Campina Verde;FACAV;MG;Outros
Faculdade de Administração de Campo Belo;FACAMP;MG;Outros
Faculdade de Administração de Cataguases;UNIPACAT;MG;Outros
Faculdade de Administração de Chapadão do Sul;FACHASUL;MS;Outros
Faculdade de Administração de Diadema;FAD;SP;Outros
Faculdade de Administração de Empresas;FACAMP;SP;Outros
Faculdade de Administração de Empresas de Paraíso do Tocantins;FAP;TO;Outros
Faculdade de Administração de Fátima do Sul;FAFS;MS;Outros
Faculdade de Administração de Governador Valadares;FAGV;MG;Outros
Faculdade de Administração de Itabirito;FAI;MG;Outros
Faculdade de Administração de Jequié;FAJ;BA;Outros
Faculdade de Administração de Mariana;FAMA;MG;Outros
Faculdade de Administração de Nova Andradina;FANA;MS;Outros
Faculdade de Administração de Nova Andradina - Fanova;FANOVA;MS;Outros
Faculdade de Administração de Passos;FAP;MG;Outros
Faculdade de Administração de Santa Cruz do Rio Pardo;FASC;SP;Outros
Faculdade de Administração de Santo Antônio do Monte;FASAM;MG;Outros
