Name,Acronym,city,state,country_name,country_code
National Institute of Amazonian Research,INPA,Manaus,None,Brazil,BR
National Institute for Space Research,INPE,São José dos Campos,None,Brazil,BR
Instituto Tecnológico de Aeronáutica,ITA,São José dos Campos,None,Brazil,BR
Irmandade da Santa Casa de Misericórdia de São Paulo,None,São Paulo,None,Brazil,BR
Secretaria da Saúde,SES-SP,São Paulo,None,Brazil,BR
Secretaria Municipal de Saúde,SMSA,Belo Horizonte,None,Brazil,BR
Prefeitura da Cidade do Rio de Janeiro,None,Rio de Janeiro,None,Brazil,BR
Instituto de Radioproteção e Dosimetria,IRD,Rio de Janeiro,None,Brazil,BR
Ministry of Agriculture, Livestock, and Food Supply,MAPA,Rio de Janeiro,None,Brazil,BR
Instituto Nacional de Metrologia, Qualidade e Tecnologia,INMETRO,Rio de Janeiro,None,Brazil,BR
Petrobras (Brazil),None,Rio de Janeiro,None,Brazil,BR
Embraer (Brazil),None,São José dos Campos,None,Brazil,BR
Fundação Bio Rio,None,Rio de Janeiro,None,Brazil,BR
Hospital de Câncer de Barretos,None,Barretos,None,Brazil,BR
Associação Ilumina,None,Piracicaba,None,Brazil,BR
Federal University of São João del-Rei,UFSJ,Divinópolis,None,Brazil,BR
Edelweiss Gestão Empresarial (Brazil),None,São Paulo,None,Brazil,BR
Fundação do Câncer,None,Rio de Janeiro,None,Brazil,BR
Fundmed Pesquisa, Ensino e Inovacao,FMED,Porto Alegre,None,Brazil,BR
Hospital Adventista Silvestre,None,Rio de Janeiro,None,Brazil,BR
Hospital São Vicente,None,Curitiba,None,Brazil,BR
Grupo Realizar,None,Petrópolis,None,Brazil,BR
Hospital do Câncer III,HCIII,Rio de Janeiro,None,Brazil,BR
Instituto Nacional de Matemática Pura e Aplicada,IMPA,Rio de Janeiro,None,Brazil,BR
Instituto Noos,None,Rio de Janeiro,None,Brazil,BR
Gestos,None,Recife,None,Brazil,BR
Promundo,None,Rio de Janeiro,None,Brazil,BR
Scientific Electronic Library Online,SciELO,São Paulo,None,Brazil,BR
Centro de Estudos de Cultura Contemporânea,CEDEC,São Paulo,None,Brazil,BR
Centro de Referência em Informação Ambiental,CRIA,Campinas,None,Brazil,BR
Instituto de Pesquisas Tecnológicas,IPT,São Paulo,None,Brazil,BR
Ministry of Science, Technology and Innovation,MCTI,Brasília,None,Brazil,BR
National Education and Research Network,RNP,Rio de Janeiro,None,Brazil,BR
National Observatory,None,Rio de Janeiro,None,Brazil,BR
Valongo Observatory,None,Rio de Janeiro,None,Brazil,BR
Centro Universitário de Volta Redonda,UNIFOA,Rio de Janeiro,None,Brazil,BR
Centro Universitário Una,UNA,Betim,None,Brazil,BR
West Zone State University,UEZO,Rio de Janeiro,None,Brazil,BR
Federal University of Amapá,UNIFAP,Macapá,None,Brazil,BR
Federal University of Itajubá,UNIFEI,Itajubá,None,Brazil,BR
Federal University of Rondônia,UNIR,Porto Velho,None,Brazil,BR
Federal University of Fronteira Sul,UFFS,Chapecó,None,Brazil,BR
Federal University of Tocantins,UFT,Palmas,None,Brazil,BR
Fundação Centro de Estudos do Universo,None,Brotas,None,Brazil,BR
Universidade do Estado do Rio Grande do Norte,UERN,Mossoró,None,Brazil,BR
Federal University of Roraima,UFRR,Boa Vista,None,Brazil,BR
Federal University of Recôncavo da Bahia,UFRB,Cruz das Almas,None,Brazil,BR
Federal Rural University of Amazonia,UFRA,Belém,None,Brazil,BR
Centro Universitário da FEI,FEI,São Bernardo do Campo,None,Brazil,BR
University for International Integration of the Afro-Brazilian Lusophony,UNILAB,Redenção,None,Brazil,BR
Centro Universitário Módulo,None,Caraguatatuba,None,Brazil,BR
Centro Universitário de Caratinga,UNEC,Caratinga,None,Brazil,BR
State University of West Paraná,UNIOESTE,Cascavel,None,Brazil,BR
Centro Universitário de Lavras,UNILAVRAS,Centenário do Sul,None,Brazil,BR
Community University of Chapecó Region - Unochapecó,None,Chapecó,None,Brazil,BR
Centro Universitário do Espírito Santo,UNESC,Colatina,None,Brazil,BR
Centro Universitário do Leste de Minas Gerais,Unileste,Coronel Fabriciano,None,Brazil,BR
University of Cruz Alta,UNICRUZ,Cruz Alta,None,Brazil,BR
Centro Universitário Unirondon,FCR,Cuiabá,None,Brazil,BR
Universidade de Cuiabá,UNIC,Cuiabá,None,Brazil,BR
Centro Universitário Campos de Andrade,UNIANDRADE,Curitiba,None,Brazil,BR
Centro Universitário Curitiba,UNICURITIBA,Curitiba,None,Brazil,BR
Centro Universitário Franciscano do Paraná,FAE,Curitiba,None,Brazil,BR
Universidade Tuiuti do Paraná,TUP,Curitiba,None,Brazil,BR
Centro Universitário da Grande Dourados,Unigran,Dourados,None,Brazil,BR
Universidade Regional Integrada do Alto Uruguai e das Missões,URI,Erechim,None,Brazil,BR
Centro Regional Universitário de Espírito Santo do Pinhal,UniPinhal,Espírito Santo do Pinhal,None,Brazil,BR
Centro Universitário Newton Paiva,None,Belo Horizonte,None,Brazil,BR
Centro Universitário de Formiga,UNIFOR-MG,Formiga,None,Brazil,BR
Centro Universitário de Franca,Uni-FACEF,Franca,None,Brazil,BR
Centro Universitário de Goiás,Uni-ANHANGUERA,Goiânia,None,Brazil,BR
Universidade Vale do Rio Doce,None,Governador Valadares,None,Brazil,BR
Centro Universitário da Fundação Educacional Guaxupé,UNIFEG,Guaxupé,None,Brazil,BR
Universidade Regional do Noroeste do Estado do Rio Grande do Sul,UNIJUÍ,Ijuí,None,Brazil,BR
Centro Universitário Leonardo da Vinci,UNIASSELVI,Indaial,None,Brazil,BR
Centro Universitário Assunção,UNIFAI,São Paulo,None,Brazil,BR
Centro Universitário de Itajubá,FEPI,Itajubá,None,Brazil,BR
University of Itaúna,UI,Itaúna,None,Brazil,BR
Centro Universitário Nossa Senhora do Patrocínio,CEUNSP,Itu,None,Brazil,BR
Universidade Estadual do Norte do Paraná,None,Jacarezinho,None,Brazil,BR
Centro Universitário de Jales,None,Jales,None,Brazil,BR
Centro Universitário de Jaraguá do Sul,UNERJ,Jaraguá do Sul,None,Brazil,BR
Centro Universitário de João Pessoa,UNIPÊ,João Pessoa,None,Brazil,BR
Universidade da Região de Joinville,UNIVILLE,Joinville,None,Brazil,BR
Centro Universitário Padre Anchieta,UNIANCHIETA,Jundiaí,None,Brazil,BR
Universidade do Planalto Catarinense,UNIPLAC,Lages,None,Brazil,BR
Univates,None,Lajeado,None,Brazil,BR
Centro Universitário Anhanguera,None,Campo Grande,None,Brazil,BR
Centro Universitário de Lins,UNILINS,Lins,None,Brazil,BR
