Institution Name;Institution Country;Institution State;Institution City;;;;
Universidade Federal de Pelotas (UFPel);Brasil;Rio Grande do Sul;Pelotas;;;;
Universidade Federal de Santa Maria (UFSM);Brasil;Rio Grande do Sul;Santa Maria;;;;
Universidade Federal de São Carlos (UFSCar);Brasil;São Paulo;São Carlos;;;;
Universidade Federal de São João del-Rei (UFSJ);Brasil;Minas Gerais;São João del Rei;;;;
Universidade Federal de Uberlândia (UFU);Brasil;Minas Gerais;Uberlândia;;;;
Universidade Federal de Viçosa;Brazil;Minas Gerais;Viçosa;;;;
Universidade Federal de Viçosa (UFV);Brasil;Minas Gerais;Viçosa;;;;
Universidade Federal do ABC;Brazil;São Paulo;Santo André;;;;
Universidade Federal do Cariri (UFCA);Brasil;Ceará;Juazeiro do Norte;;;;
Universidade Federal do Pampa (UNIPAMPA);Brasil;Rio Grande do Sul;Bagé;;;;
Universidade Federal do Rio Grande (FURG);Brasil;Rio Grande do Sul;Rio Grande;;;;
Universidade Federal do Vale do São Francisco (UNIVASF);Brasil;Pernambuco;Petrolina;;;;
Universidade Federal Rural do Semi-Árido (UFERSA);Brasil;Rio Grande do Norte;Mossoró;;;;
Universidade FEEVALE;Brasil;Rio Grande do Sul;Novo Hamburgo;;;;
Universidade Franciscana (UFN);Brasil;Rio Grande do Sul;Santa Maria;;;;
Universidade FUMEC (FUMEC);Brasil;Minas Gerais;Belo Horizonte;;;;
Universidade José do Rosário Vellano (UNIFENAS);Brasil;Minas Gerais;Alfenas;;;;
Universidade La Salle (UNILASALLE);Brasil;Rio Grande do Sul;Canoas;;;;
Universidade Luterana do Brasil (ULBRA);Brasil;Rio Grande do Sul;Canoas;;;;
Universidade Metodista de Piracicaba (UNIMEP);Brasil;São Paulo;Piracicaba;;;;
Universidade Metropolitana de Santos (UNIMES);Brasil;São Paulo;Santos;;;;
Universidade Municipal de São Caetano do Sul (USCS);Brasil;São Paulo;São Caetano do Sul;;;;
Universidade Nove de Julho (UNINOVE);Brasil;São Paulo;São Paulo;;;;
Universidade Presbiteriana Mackenzie (MACKENZIE);Brasil;São Paulo;São Paulo;;;;
Universidade Regional do Cariri (URCA);Brasil;Ceará;Crato;;;;
Universidade Regional Integrada do Alto Uruguai e das Missões (URI);Brasil;Rio Grande do Sul;Erechim;;;;
Universidade Salvador (UNIFACS);Brasil;Bahia;Salvador;;;;
Universidade Santa Cecília (UNISANTA);Brasil;São Paulo;Santos;;;;
Universidade Santa Úrsula (USU);Brasil;Rio de Janeiro;Rio de Janeiro;;;;
Universidade São Francisco (USF);Brasil;São Paulo;Bragança Paulista;;;;
Universidade Tiradentes (UNIT);Brasil;Sergipe;Aracaju;;;;
Universidade Unigranrio;Brazil;Rio de Janeiro;Rio de Janeiro;;;;
Universidade Vale do Rio Verde (UNINCOR);Brasil;Minas Gerais;Três Corações;;;;
Universidade Veiga de Almeida (UVA);Brasil;Rio de Janeiro;Rio de Janeiro;;;;
Universidade Vila Velha;Brazil;Espírito Santo;Vila Velha;;;;
